"veg","distance","area","lat_dist","wood","fine","gravel","cobble","rock","shade_1","shade_2","shade_3","shade_4","shade_5","shade_6","shade_7","shade_8","shade_9","shade_10","shade_11","shade_12"
0,7700,10664.686796397,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7700,9304.22848324478,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7800,10673.1957134008,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7800,9295.79964581132,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7900,9237.61375899613,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7900,10731.4094650596,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8000,10812.9298770428,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8000,9156.13313290477,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8100,10916.1488455385,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8100,9052.97288142145,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8200,8946.42422637343,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8200,11022.700178504,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8300,8861.87455882132,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,8300,11107.2486634254,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,8400,11190.6148431301,-400,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8400,8778.16167356074,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,8500,11326.665543884,-400,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8500,8641.75117234886,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8600,11123.7972024232,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8600,8845.57259561121,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8700,11961.9080450237,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8700,8006.55438998342,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,8800,10039.7211636156,-400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,8800,9929.10902202874,400,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,200,10107.6411884278,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,200,9861.46833592653,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,300,10239.2273920476,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,300,9729.87968190014,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,400,10355.5676806569,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,400,9613.5112888217,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,500,10460.2074456066,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,500,9508.8477113843,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,600,10562.8124199957,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,600,9406.23458217084,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,700,10678.665949896,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,700,9290.36735966802,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,800,10787.0420057774,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,800,9181.98879554868,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,900,10873.723692596,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,900,9095.3236092627,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1000,10933.2386751026,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1000,9035.84533543885,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1100,10967.1982525289,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1100,9001.90659455955,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1200,10984.2228677273,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1200,8984.88053160906,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1300,10984.4641750157,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1300,8984.63757476211,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1400,10973.3629900068,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1400,8995.68280927837,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1500,10944.6345857829,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1500,9024.35029855371,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1600,10954.9330080897,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1600,9013.93296217918,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1700,10828.4251902699,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1700,9140.56372214854,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1800,10712.0587767512,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1800,9257.03301382065,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1900,10629.1578502357,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1900,9339.96566639841,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2000,10572.6013434827,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2000,9396.52696599066,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2100,10554.6277217269,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2100,9414.49973073602,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2200,10568.4033470601,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2200,9400.70706017315,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2300,10611.7767472118,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2300,9357.31410340965,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2400,10678.21089302,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2400,9290.83063703775,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,2500,10778.5244009346,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2500,9190.42099578679,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2600,10754.5529775321,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2600,9214.48038156331,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2700,10752.8033193648,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2700,9216.27677927911,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2800,10711.6414101273,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2800,9257.48207496107,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2900,10619.6570475399,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2900,9349.47420080006,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3000,10461.9132319689,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3000,9507.198161304,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3100,9744.75989530981,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3100,10224.325096935,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3200,10065.3660441637,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3200,9903.73729394376,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3300,9488.84840129316,-500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3300,10480.229585737,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
